WinCC OA Recipe	CeliTunel	2016.10.28 15:59:29.219				Name:	RadoviLevaCev-DesnaTraka
Description:						Description:	
No.	Datapoint element	Description	Type	Unit	Min.	Max.	Set point
121	SysSarani:VMS1-TKL1.command.izbor_znaka	VMS1-TKL1.command.izbor_znaka	dyn_int		0	0	70
122	SysSarani:VMS2-TKL1.command.izbor_znaka	VMS2-TKL1.command.izbor_znaka	dyn_int		0	0	69
123	SysSarani:VMS3-TKL1.command.izbor_znaka	VMS3-TKL1.command.izbor_znaka	dyn_int		0	0	69
124	SysSarani:VMS4-TKL1.command.izbor_znaka	VMS4-TKL1.command.izbor_znaka	dyn_int		0	0	69
125	SysSarani:VMS5-TKL1.command.izbor_znaka	VMS5-TKL1.command.izbor_znaka	dyn_int		0	0	42
126	SysSarani:VMS6-TKL1.command.izbor_znaka	VMS6-TKL1.command.izbor_znaka	dyn_int		0	0	42
127	SysSarani:VMS4-OAD.command.izbor_znaka	VMS4-OAD.command.izbor_znaka	dyn_int		0	0	42
128	SysSarani:VMS5-OAD.command.izbor_znaka	VMS5-OAD.command.izbor_znaka	dyn_int		0	0	42
129	SysSarani:S1-PS2.command.sdv.crveno	S1-PS2.command.sdv.crveno	bool		0	0	0
130	SysSarani:S1-PS2.command.sdv.zuto.on	S1-PS2.command.sdv.zuto.on	bool		0	0	1
131	SysSarani:S1-PS2.command.sdv.zeleno	S1-PS2.command.sdv.zeleno	bool		0	0	0
132	SysSarani:S2-PS2.command.sdv.crveno	S2-PS2.command.sdv.crveno	bool		0	0	0
133	SysSarani:S2-PS2.command.sdv.zuto.on	S2-PS2.command.sdv.zuto.on	bool		0	0	1
134	SysSarani:S2-PS2.command.sdv.zeleno	S2-PS2.command.sdv.zeleno	bool		0	0	0
135	SysSarani:S1-TKL2.command.sdv.crveno	S1-TKL2.command.sdv.crveno	bool		0	0	0
136	SysSarani:S1-TKL2.command.sdv.zuto.on	S1-TKL2.command.sdv.zuto.on	bool		0	0	1
137	SysSarani:S1-TKL2.command.sdv.zeleno	S1-TKL2.command.sdv.zeleno	bool		0	0	0
138	SysSarani:S2-TKL2.command.sdv.crveno	S2-TKL2.command.sdv.crveno	bool		0	0	0
139	SysSarani:S2-TKL2.command.sdv.zuto.on	S2-TKL2.command.sdv.zuto.on	bool		0	0	1
140	SysSarani:S2-TKL2.command.sdv.zeleno	S2-TKL2.command.sdv.zeleno	bool		0	0	0
141	SysSarani:S1-L4.command.sdv.crveno	S1-L4.command.sdv.crveno	bool		0	0	0
142	SysSarani:S1-L4.command.sdv.zuto.on	S1-L4.command.sdv.zuto.on	bool		0	0	1
143	SysSarani:S1-L4.command.sdv.zeleno	S1-L4.command.sdv.zeleno	bool		0	0	0
144	SysSarani:S2-L4.command.sdv.crveno	S2-L4.command.sdv.crveno	bool		0	0	0
145	SysSarani:S2-L4.command.sdv.zuto.on	S2-L4.command.sdv.zuto.on	bool		0	0	1
146	SysSarani:S2-L4.command.sdv.zeleno	S2-L4.command.sdv.zeleno	bool		0	0	0
147	SysSarani:S1-TKL1.command.sdv.crveno	S1-TKL1.command.sdv.crveno	bool		0	0	1
148	SysSarani:S1-TKL1.command.sdv.zuto.on	S1-TKL1.command.sdv.zuto.on	bool		0	0	0
149	SysSarani:S1-TKL1.command.sdv.zeleno	S1-TKL1.command.sdv.zeleno	bool		0	0	0
150	SysSarani:S2-TKL1.command.sdv.crveno	S2-TKL1.command.sdv.crveno	bool		0	0	1
151	SysSarani:S2-TKL1.command.sdv.zuto.on	S2-TKL1.command.sdv.zuto.on	bool		0	0	0
152	SysSarani:S2-TKL1.command.sdv.zeleno	S2-TKL1.command.sdv.zeleno	bool		0	0	0
153	SysSarani:treptacD.command.sdv.zuto.on	treptacD.command.sdv.zuto.on	bool		0	0	0
154	SysSarani:treptacL.command.sdv.zuto.on	treptacL.command.sdv.zuto.on	bool		0	0	1
