# ascii dump of database

# Aliases/Comments
AliasId	AliasName	CommentName
OA-SOS-D1.A3.state.bit.b5	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E5.1D\" LANG:10027 \"Status-oznaka puta evakuacije E5.1D\" " LANG:10027 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E5.1D\" LANG:10027 \"Status-oznaka puta evakuacije E5.1D\" " 
OA-SOS-D1.A3.state.bit.b6	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E5.2D\" LANG:10027 \"Status-oznaka puta evakuacije E5.2D\" " LANG:10027 "lt:2 LANG:10024 \"Status-oznaka puta evakuacije E5.2D\" LANG:10027 \"Status-oznaka puta evakuacije E5.2D\" " 
OA-SOS-D1.A3.state.bit.b7	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-monofazna prikljucnica\" LANG:10027 \"Status-monofazna prikljucnica\" " LANG:10027 "lt:2 LANG:10024 \"Status-monofazna prikljucnica\" LANG:10027 \"Status-monofazna prikljucnica\" " 
OA-SOS-D1.A4.state.bit.b0	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-trofazna prikljucnica\" LANG:10027 \"Status-trofazna prikljucnica\" " LANG:10027 "lt:2 LANG:10024 \"Status-trofazna prikljucnica\" LANG:10027 \"Status-trofazna prikljucnica\" " 
OA-SOS-D1.A4.state.bit.b1	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-rezerva osigurac\" LANG:10027 \"Status-rezerva osigurac\" " LANG:10027 "lt:2 LANG:10024 \"Status-rezerva osigurac\" LANG:10027 \"Status-rezerva osigurac\" " 
OA-SOS-D1.A4.state.bit.b2	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-rezerva osigurac\" LANG:10027 \"Status-rezerva osigurac\" " LANG:10027 "lt:2 LANG:10024 \"Status-rezerva osigurac\" LANG:10027 \"Status-rezerva osigurac\" " 
OA-SOS-D1.A4.state.bit.b3	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status vrata nise SOS.D1\" LANG:10027 \"Status vrata nise SOS.D1\" " LANG:10027 "lt:2 LANG:10024 \"Status vrata nise SOS.D1\" LANG:10027 \"Status vrata nise SOS.D1\" " 
OA-SOS-D1.A4.state.bit.b4	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status vrata ormara PP aparata SOS.D1\" LANG:10027 \"Status vrata ormara PP aparata SOS.D1\" " LANG:10027 "lt:2 LANG:10024 \"Status vrata ormara PP aparata SOS.D1\" LANG:10027 \"Status vrata ormara PP aparata SOS.D1\" " 
OA-SOS-D1.A4.state.bit.b5	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " LANG:10027 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " 
OA-SOS-D1.A4.state.bit.b6	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " LANG:10027 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " 
